"family","n_slope","n_sp","n_rep","seed","x_sd","slope_scale","conv","pdHess","max_sigma_diff","slope_var_ratio_1","slope_var_ratio_2","slope_var_ratio_3","slope_var_ratio_4","slope_var_ratio_min","slope_var_ratio_max","slope_var_ratios","sigma_eigen_min","sigma_eigen_max","sigma_condition","truth_condition","fit_objective","fit_iterations","family_param_min","family_param_max","eta_min","eta_max","eta_sd","x_abs_cor_max","response_mean","response_min","response_max","response_zero_frac","response_boundary_frac","strict_recovered","loose_recovered","failure_reason","note"
"gaussian",1,300,10,401,1,1,0,TRUE,0.1649,1.278,1.129,NA,NA,1.129,1.278,"1.278;1.129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"poisson",1,300,10,401,1,1,0,TRUE,0.2022,0.96,1.248,NA,NA,0.96,1.248,"0.96;1.248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"nbinom2",1,300,10,401,1,1,0,TRUE,0.2021,0.739,0.759,NA,NA,0.739,0.759,"0.739;0.759",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"Gamma",1,300,10,401,1,1,0,TRUE,0.1301,1.325,0.721,NA,NA,0.721,1.325,"1.325;0.721",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"Beta",1,300,10,401,1,1,0,TRUE,0.141,0.768,0.577,NA,NA,0.577,0.768,"0.768;0.577",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"binomial",1,300,10,401,1,1,0,TRUE,0.1889,0.868,0.91,NA,NA,0.868,0.91,"0.868;0.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"ordinal_probit",1,300,10,401,1,1,1,FALSE,0.1299,0.881,0.955,NA,NA,0.881,0.955,"0.881;0.955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"nonPD/nonconv",NA
"gaussian",1,600,10,401,1,1,0,TRUE,0.1174,0.916,1.223,NA,NA,0.916,1.223,"0.916;1.223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"poisson",1,600,10,401,1,1,0,TRUE,0.1409,1.164,0.592,NA,NA,0.592,1.164,"1.164;0.592",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"nbinom2",1,600,10,401,1,1,0,TRUE,0.109,1.161,0.673,NA,NA,0.673,1.161,"1.161;0.673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"Gamma",1,600,10,401,1,1,0,TRUE,0.2219,0.745,0.881,NA,NA,0.745,0.881,"0.745;0.881",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
